Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,252,8.700,1788186427996999.855	,1788186427997008.555	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,253,40.840,1788186427998857.095	,1788186427998897.935	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,254,329.040,1788186427999538.935	,1788186427999867.975	
3,clear_ops,MIX_AIC,47,255,34.800,1788186427999869.575	,1788186427999904.375	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,256,1.000,1788186427999905.295	,1788186427999906.295	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,257,0.740,1788186427999906.315	,1788186427999907.055	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,258,0.760,1788186427999907.075	,1788186427999907.835	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,259,0.760,1788186427999916.615	,1788186427999917.375	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,260,0.760,1788186427999961.915	,1788186427999962.675	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,261,0.760,1788186427999999.155	,1788186427999999.915	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,262,50.780,1788186428001641.295	,1788186428001692.075	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,263,9.140,1788186428001800.355	,1788186428001809.495	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,264,44.160,1788186428003624.895	,1788186428003669.055	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,265,330.340,1788186428004298.375	,1788186428004628.715	
3,clear_ops,MIX_AIC,47,266,34.720,1788186428004630.115	,1788186428004664.835	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,267,0.900,1788186428004665.895	,1788186428004666.795	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,268,0.780,1788186428004666.835	,1788186428004667.615	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,269,0.780,1788186428004667.635	,1788186428004668.415	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,270,0.760,1788186428004675.595	,1788186428004676.355	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,271,0.720,1788186428004726.675	,1788186428004727.395	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,272,0.740,1788186428004761.615	,1788186428004762.355	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,273,49.240,1788186428006436.515	,1788186428006485.755	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,274,8.860,1788186428006598.735	,1788186428006607.595	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,275,42.520,1788186428008451.755	,1788186428008494.275	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,276,329.260,1788186428009152.195	,1788186428009481.455	
3,clear_ops,MIX_AIC,47,277,34.280,1788186428009482.635	,1788186428009516.915	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,278,0.860,1788186428009517.775	,1788186428009518.635	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,279,0.760,1788186428009518.655	,1788186428009519.415	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,280,0.780,1788186428009519.435	,1788186428009520.215	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,281,0.800,1788186428009536.215	,1788186428009537.015	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,282,0.660,1788186428009569.955	,1788186428009570.615	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,283,0.660,1788186428009612.375	,1788186428009613.035	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,284,49.180,1788186428011230.535	,1788186428011279.715	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,285,8.540,1788186428011397.315	,1788186428011405.855	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,286,41.980,1788186428013228.635	,1788186428013270.615	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,287,327.580,1788186428013905.955	,1788186428014233.535	
3,clear_ops,MIX_AIC,47,288,34.240,1788186428014234.975	,1788186428014269.215	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,289,0.840,1788186428014270.115	,1788186428014270.955	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,290,0.720,1788186428014270.995	,1788186428014271.715	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,291,0.800,1788186428014271.735	,1788186428014272.535	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,292,0.800,1788186428014283.955	,1788186428014284.755	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,293,0.760,1788186428014323.195	,1788186428014323.955	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,294,0.760,1788186428014365.555	,1788186428014366.315	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,295,52.200,1788186428015969.135	,1788186428016021.335	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,296,8.720,1788186428016154.355	,1788186428016163.075	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,297,39.960,1788186428017998.335	,1788186428018038.295	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,298,328.200,1788186428018689.675	,1788186428019017.875	
3,clear_ops,MIX_AIC,47,299,35.260,1788186428019019.175	,1788186428019054.435	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,300,0.780,1788186428019055.535	,1788186428019056.315	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,301,0.680,1788186428019056.335	,1788186428019057.015	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,302,0.700,1788186428019057.035	,1788186428019057.735	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,303,0.700,1788186428019057.755	,1788186428019058.455	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,304,0.700,1788186428019088.795	,1788186428019089.495	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,305,0.720,1788186428019131.115	,1788186428019131.835	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,306,51.460,1788186428020738.695	,1788186428020790.155	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,307,9.860,1788186428020923.715	,1788186428020933.575	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,308,42.280,1788186428022740.375	,1788186428022782.655	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,309,330.860,1788186428023412.095	,1788186428023742.955	
3,clear_ops,MIX_AIC,47,310,34.120,1788186428023744.375	,1788186428023778.495	
