Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,67,34.260,1788186149722453.455	,1788186149722487.715	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,68,330.840,1788186149722488.635	,1788186149722819.475	
3,clear_ops,MIX_AIC,12,69,28.560,1788186149722820.895	,1788186149722849.455	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,70,52.300,1788186149722852.475	,1788186149722904.775	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,71,7.780,1788186149722905.655	,1788186149722913.435	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,72,35.220,1788186149722914.675	,1788186149722949.895	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,73,336.480,1788186149722951.035	,1788186149723287.515	
3,clear_ops,MIX_AIC,12,74,28.120,1788186149723288.755	,1788186149723316.875	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,75,50.920,1788186149723319.755	,1788186149723370.675	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,76,7.620,1788186149723371.875	,1788186149723379.495	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,77,34.560,1788186149723380.915	,1788186149723415.475	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,78,331.280,1788186149723416.675	,1788186149723747.955	
3,clear_ops,MIX_AIC,12,79,28.640,1788186149723748.975	,1788186149723777.615	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,80,51.940,1788186149723780.515	,1788186149723832.455	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,81,7.620,1788186149723833.255	,1788186149723840.875	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,82,35.780,1788186149723842.295	,1788186149723878.075	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,83,331.220,1788186149723879.275	,1788186149724210.495	
3,clear_ops,MIX_AIC,12,84,30.280,1788186149724211.495	,1788186149724241.775	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,85,50.900,1788186149724244.875	,1788186149724295.775	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,86,7.520,1788186149724297.015	,1788186149724304.535	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,87,34.800,1788186149724305.475	,1788186149724340.275	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,88,331.340,1788186149724341.235	,1788186149724672.575	
3,clear_ops,MIX_AIC,12,89,28.620,1788186149724673.515	,1788186149724702.135	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,90,52.040,1788186149724705.035	,1788186149724757.075	
3,static_kernel_DequantSwigluQuant_1147b81e175d34d10821636ee978003d202532bd71b04cbcef6dda7cca3a60c9_2478629_d0__kernel0,AI_VECTOR_CORE,12,91,7.960,1788186149724757.795	,1788186149724765.755	
3,static_kernel_GroupedMatmul_5db5b7a9271416eb4e0c9f9f61b4869ef629dd312f49398f079aad144477c151_2478629_d0,MIX_AIC,12,92,33.260,1788186149724766.815	,1788186149724800.075	
3,static_kernel_DynamicQuant_3f3823604c7b850b2738d07cb0d129927f7c09376c436c3c4b7b457502b5435f_2478629_d0__kernel0,AI_VECTOR_CORE,12,93,333.480,1788186149724800.775	,1788186149725134.255	
3,clear_ops,MIX_AIC,12,94,28.340,1788186149725135.495	,1788186149725163.835	
3,static_kernel_GroupedMatmul_c82fe246f0843d6ddf904011e48a066257c9620090b5c755dc35ea4e8ca71409_2478629_d0,MIX_AIC,12,95,50.960,1788186149725166.435	,1788186149725217.395	
